Cities,Interest,Name,Latitude,Longitude
Nagpur,Historical,Ramtek Fort Temple,21.3935099,79.2995414
Nagpur,Historical,Deeksha Bhoomi,21.13605,79.0695
Nagpur,Food,Checkers,21.15738,79.07721
Nagpur,Food,Plan B Burger,21.12132,79.05231
Nagpur,Food,Dominos,21.119249,79.104447
Nagpur,Food,Villa 167,21.12646,79.05761
Nagpur,National Park,Ambazari Lake,21.13099429,79.03762432
Nagpur,National Park,Gorewada National Park,21.18932,79.064028
Delhi,Historical,India Gate,26.9248,75.8246
Delhi,Historical,Purana Qila,28.6096,77.2437
Delhi,Historical,Jama Masjid,28.6507,77.2334
Delhi,Historical,Agrasen ki Baoli,28.6261,77.22501
Delhi,Food,North Campus,28.6872,77.2103
Delhi,Food,Atul Chaat,28.6455,77.1209
Delhi,Food,Chache Di Hatti,28.73068,77.09529
Delhi,Food,Roshan DI Kulfi,28.65046,77.19239
Delhi,National Park,Sultanpur National Park,28.4613,76.8904
Delhi,National Park,National Zoological Park,28.6067,77.2454
Bangalore,Historical,Bangalore Fort,12.9628,77.5759
Bangalore,Historical,Tipu Sultan Fort,12.4245,76.6906
Bangalore,Historical,Bangalore Palace,12.9988,77.5951
Bangalore,Food,Burma Burma,12.97039445,77.6447133
Bangalore,Food,Windmills Craftworks,12.98241296,77.72197936
Bangalore,Food,CTR Shri Sagar,12.99827011,77.56945521
Bangalore,Food,Brahmin's Coffee Bar,12.95404312,77.56886512
Bangalore,National Park,Anshi National Park,14.9981,74.3587
Bangalore,National Park,Bandipur Tiger Reserve,11.7788,76.4647
Lucknow,Historical,Bara Imambada,26.8693,80.9126
Lucknow,Historical,Clock Tower,26.8738,80.9062
Lucknow,Historical,Dilkusha Kothi,26.85978,80.88094
Lucknow,Food,Tunday Kababi,26.8483,80.9273
Lucknow,Food,Hazelnut Factory,26.87285,80.94069
Lucknow,Food,Shyaam Swaad,26.901897,80.946283
Lucknow,National Park,Dudhwa National Park,28.4902,80.6457
Lucknow,National Park,Lucknow Zoo,26.8454,80.9517
Mumbai,Historical,Elephanta Cave,18.9633,72.9315
Mumbai,Historical,Haji Ali Dargah,18.9827,72.8089
Mumbai,Historical,Siddhivinayak Temple ,19.0168,72.8303
Mumbai,Historical,Marine Drive,18.9549,72.8115
Mumbai,Food,Gulshan-e-Iran,18.94762,72.83444
Mumbai,Food,Noor Mohmaddi,18.9479,72.83551
Mumbai,Food,Jai Jawan,19.0643,72.8347
